Unnamed: 0	clicked_news	category	subcategory	title
0	N1	No category	No subcategory	Se lesernes nyttårsbilder
1	N2	100sport	vintersport	Her koker det over for Tønseth. Så stakk han fra stadion i sinne.
10	N3	innenriks_nyheter	No subcategory	Én av tre nordmenn vil trene mer i 2017
11	N4	okonomi_nyheter	No subcategory	Rema reklamerer med bokstaven æ
14	N5	trondheim_nyheter	No subcategory	- Det blir fyrverkeri
29	N8	100sport	sjakk	På dette bildet skiller Magnus Carlsen seg ut: - Litt tilfeldig
38	N9	No category	No subcategory	Hvem syns du er Årets trønder?
67	N13	sortrondelag_nyheter	No subcategory	Slik blir ferieåret 2017
69	N14	100sport	vintersport	Northugs trener tror ikke Sundby vinner Tour de Ski
72	N15	moreromsdal_nyheter	No subcategory	Mann (78) funnet død i en kum ved riksvei i Gjemnes
76	N16	No category	No subcategory	Advarer mot kraftige vindkast i indre strøk av Trøndelag
93	N17	sortrondelag_nyheter	No subcategory	Hurtigruta snudde på Folda
96	N18	pluss	okonomi	Nyttårskvelden er skapt for sprudlende drikke
119	N19	No category	No subcategory	Trondheim, fra havna mot Rockheim
126	N20	100sport	vintersport	Stina Nilsson parkerte de norske jentene på sprinten
198	N24	No category	No subcategory	Trondheim, utløpet av Nidelva
253	N27	100sport	fotball	Slik blir fotball-VM i Qatar
285	N30	100sport	mesterskap	Quiz: Hvem er mannen som hilser på Kong Harald på dette bildet?
288	N31	100sport	sjakk	Da konfettien dalte ned, rant begeret over for Magnus Carlsen
346	N33	innenriks_nyheter	No subcategory	15 000 mer i engangsbeløp til nybakte foreldre
425	N35	100sport	vintersport	Koteng: - Vanskelig å få investorer
453	N36	No category	No subcategory	Uværet traff Trøndelag
510	N38	No category	No subcategory	QUIZ: Hvilke kommuner skal egentlig slå seg sammen?
539	N39	sortrondelag_nyheter	No subcategory	Nå blir det ny vei mellom Trondheim og Klæbu
558	N41	pluss	magasin	Trond og Aleksander har hatt julepynten framme i tre måneder. Nå er de klare for nyttårsfest.
737	N45	pluss	kultur	Slik skal de innrede nye Britannia
818	N47	trondheim_nyheter	No subcategory	- Dette er så lavmål. Min bror var på gråten
835	N48	pluss	magasin	Historiske trøndelagsbilder: Denne ferske bileieren var ekstremt uheldig
1442	N49	trondheim_nyheter	No subcategory	Fikk du med deg dette værfenomenet i dag?
997	N51	No category	No subcategory	Mener informasjonen er tydelig
96200	N53	No category	No subcategory	Ary fra Trondheim med musikken til NRKs nye krigsdrama
1119	N54	trondheim_nyheter	No subcategory	Beboere føler seg maktesløse
1437	N59	pluss	kultur	Det beste pinnekjøttet er ikke av sau
1511	N61	No category	No subcategory	E6 Oppdal
1628	N62	No category	No subcategory	Oppdal skisenter - Stølen
1655	N63	No category	No subcategory	E6 Ulsberg
1677	N64	No category	No subcategory	Varsler full vestlig storm i Trøndelag natt til nyttårsaften
