category	int
No category	0
No subcategory	0
100sport	1
nyheter	25
pluss	3
vaeret	4
tema	5
kultur	24
meninger	33
forbruker	8
tjenester	9
migration catalog	10
omadresseavisen	11
sport	39
abonnement	13
vintersport	14
innenriks	15
okonomi	16
trondheim	17
sjakk	18
sortrondelag	19
moreromsdal	20
fotball	21
mesterskap	22
magasin	23
klima	26
sprek	27
arets tronder	28
tv	29
nordtrondelag	30
ordetfritt	31
dokument	32
kuriosa	34
adressa noogda	35
villeveier	36
hjem	37
musikk	38
bildeserier	40
helse	41
sexogsamliv	42
vin	43
aretstronder	44
utenriks	45
ballsport	46
trafikkdoden	47
andreidretter	48
idrettspolitikk	49
film	50
digital	51
arrangementer	52
kommentarer	53
fritid	54
ishockey	55
oppdraget	56
hopp	57
sporsmalogsvar	58
kronikker	59
makteliten	60
snakkut	61
festivaler	62
personlig okonomi	63
leder	64
jano	65
scene	66
kampsport	67
