news_id	news_int
N2971	0
N2636	1
N2900	2
N2874	3
N3023	4
N2973	5
N3006	6
N2983	7
N3020	8
N2469	9
N2984	10
N2887	11
N2735	12
N3024	13
N2885	14
N2689	15
N2883	16
N1784	17
N3012	18
N2928	19
N2322	20
N2738	21
N2974	22
N2868	23
N2074	24
N2656	25
N2671	26
N3026	27
N2775	28
N604	29
N1042	30
N2817	31
N2672	32
N1427	33
N2813	34
N2767	35
N61	36
N2418	37
N2903	38
N70	39
N2786	40
N2716	41
N104	42
N2906	43
N2754	44
N2710	45
N2955	46
N2755	47
N1287	48
N539	49
N2753	50
N2719	51
N454	52
N2602	53
N2603	54
N502	55
N1985	56
N2361	57
N2597	58
N2604	59
N2812	60
N2329	61
N2756	62
N2866	63
N2864	64
N380	65
N2158	66
N2881	67
N2934	68
N2495	69
N1830	70
N3031	71
N2260	72
N1762	73
N3032	74
N1718	75
N1931	76
N2614	77
N821	78
N2327	79
N2886	80
N3029	81
N1634	82
N62	83
N3034	84
N2009	85
N2283	86
N2821	87
N3036	88
N3037	89
N2578	90
N2215	91
N2543	92
N2823	93
N2966	94
N2160	95
N943	96
N1911	97
N2413	98
N2122	99
N2022	100
N3038	101
N2873	102
N2044	103
N2087	104
N2675	105
N2723	106
N2734	107
N2526	108
N2944	109
N1768	110
N2816	111
N2717	112
N1987	113
N1965	114
N1916	115
N791	116
N319	117
N3042	118
N253	119
N3043	120
N3041	121
N2443	122
N1801	123
N1889	124
N1420	125
N950	126
N2308	127
N2859	128
N2815	129
N2128	130
N3046	131
N2458	132
N3021	133
N2186	134
N2542	135
N2921	136
N17	137
N569	138
N1901	139
N163	140
N2459	141
N69	142
N1903	143
N19	144
N2729	145
N2757	146
N3047	147
N445	148
N1212	149
N3054	150
N3055	151
N16	152
N2598	153
N2106	154
N1299	155
N271	156
N205	157
N2041	158
N24	159
N2943	160
N5	161
N73	162
N2446	163
N2483	164
N1883	165
N63	166
N66	167
N3057	168
N3058	169
N2392	170
N87	171
N2950	172
N280	173
N3060	174
N2468	175
N3061	176
N2121	177
N1923	178
N3062	179
N3064	180
N3065	181
N3066	182
N3067	183
N1785	184
N3068	185
N266	186
N2878	187
N2387	188
N2811	189
N3071	190
N3072	191
N2447	192
N3073	193
N2	194
N2123	195
N1449	196
N3076	197
N3077	198
N3078	199
N2401	200
N137	201
N1786	202
N4	203
N3086	204
N1770	205
N1773	206
N2985	207
N2514	208
N3090	209
N2622	210
N3091	211
N1823	212
N3092	213
N2802	214
N255	215
N2274	216
N2961	217
N2388	218
N1373	219
N107	220
N2096	221
N1221	222
N2504	223
N2737	224
N2048	225
N3102	226
N8	227
N131	228
N1861	229
N2525	230
N2981	231
N3017	232
N39	233
N3105	234
N2789	235
N2461	236
N1800	237
N3109	238
N997	239
N3110	240
N1840	241
N3111	242
N127	243
N2891	244
N3112	245
N2742	246
N291	247
N2877	248
N2510	249
N3113	250
N3115	251
N2571	252
N2506	253
N2840	254
N2212	255
N2626	256
N3119	257
N76	258
N1456	259
N2090	260
N2779	261
N244	262
N150	263
N2091	264
N1878	265
N3121	266
N64	267
N3122	268
N3120	269
N3125	270
N3128	271
N13	272
N2552	273
N2093	274
N2828	275
N3134	276
N1037	277
N2752	278
N3139	279
N1267	280
N3140	281
N3142	282
N3039	283
N190	284
N2502	285
N1819	286
N3146	287
N1538	288
N3148	289
N36	290
N2911	291
N3149	292
N306	293
N2208	294
N3152	295
N2056	296
N3153	297
N1480	298
N3155	299
N3157	300
N2814	301
N3159	302
N3160	303
N3161	304
N2745	305
N500	306
N2161	307
N2507	308
N1725	309
N3168	310
N3169	311
N3162	312
N3170	313
N3171	314
N1789	315
N35	316
N442	317
N3172	318
N164	319
N2229	320
N3174	321
N128	322
N3181	323
N2820	324
N3182	325
N1179	326
N3183	327
N2039	328
N3185	329
N2379	330
N3186	331
N1518	332
N2476	333
N14	334
N2632	335
N2362	336
N3187	337
N3141	338
N3188	339
N33	340
N3190	341
N3191	342
N399	343
N99	344
N709	345
N383	346
N2871	347
N2168	348
N3196	349
N30	350
N2784	351
N2038	352
N233	353
N3199	354
N581	355
N65	356
N3200	357
N3201	358
N2319	359
N3202	360
N2395	361
N3211	362
N1580	363
N98	364
N1276	365
N3214	366
N3215	367
N3216	368
N2549	369
N2739	370
N3219	371
N3220	372
N2740	373
N613	374
N595	375
N3224	376
N2191	377
N761	378
N1779	379
N3230	380
N3233	381
N92	382
N439	383
N1029	384
N3238	385
N3239	386
N3241	387
N671	388
N2805	389
N3242	390
N3019	391
N2033	392
N2724	393
N3245	394
N2204	395
N3247	396
N166	397
N3251	398
N422	399
N2193	400
N3258	401
N1966	402
N3263	403
N3259	404
N3261	405
N2338	406
N3270	407
N398	408
N2645	409
N3272	410
N3273	411
N3274	412
N3275	413
N2702	414
N2555	415
N3277	416
N3278	417
N3264	418
N1688	419
N3281	420
N3266	421
N3285	422
N2607	423
N2490	424
N1128	425
N167	426
N2875	427
N2482	428
N3291	429
N2316	430
N3294	431
N3295	432
N3296	433
N2869	434
N2277	435
N3298	436
N2360	437
N53	438
N3306	439
N3307	440
N1735	441
N3308	442
N3309	443
N514	444
N2897	445
N3311	446
N2342	447
N585	448
N3208	449
N3312	450
N3189	451
N1723	452
N3304	453
N3315	454
N2938	455
N3316	456
N705	457
N3317	458
N715	459
N554	460
N3318	461
N3320	462
N3321	463
N3322	464
N2201	465
N1719	466
N3276	467
N3325	468
N1954	469
N2818	470
N3328	471
N3330	472
N1834	473
N3331	474
N3332	475
N321	476
N411	477
N3333	478
N1272	479
N3334	480
N769	481
N27	482
N1947	483
N3335	484
N2151	485
N3336	486
N3338	487
N3343	488
N3344	489
N3345	490
N3347	491
N3348	492
N497	493
N934	494
N1562	495
N1899	496
N3352	497
N1765	498
N3353	499
N110	500
N1808	501
N3355	502
N3356	503
N54	504
N3358	505
N3360	506
N2977	507
N2844	508
N2843	509
N2986	510
N3361	511
N1782	512
N3362	513
N3363	514
N3364	515
N67	516
N2477	517
N3365	518
N3366	519
N3367	520
N2174	521
N3287	522
N3368	523
N3369	524
N1230	525
N3371	526
N3372	527
N507	528
N3223	529
N1776	530
N3377	531
N3374	532
N9	533
N676	534
N1970	535
N2554	536
N3383	537
N3387	538
N2344	539
N2901	540
N3246	541
N3392	542
N2499	543
N3390	544
N3395	545
N2930	546
N3293	547
N3399	548
N3400	549
N3401	550
N2421	551
N3404	552
N3405	553
N1778	554
N3406	555
N3407	556
N3408	557
N3409	558
N537	559
N3414	560
N2892	561
N3420	562
N3421	563
N645	564
N3422	565
N3423	566
N3424	567
N1524	568
N2386	569
N2417	570
N20	571
N88	572
N3426	573
N3427	574
N1912	575
N363	576
N2064	577
N3428	578
N3429	579
N3432	580
N3433	581
N3430	582
N3434	583
N3435	584
N3436	585
N2687	586
N3438	587
N2454	588
N3440	589
N1194	590
N3442	591
N3444	592
N588	593
N3445	594
N3447	595
